id,value
"","585"
"RI","2"
"NC 27606","1"
"ME","2"
"CA 93274","1"
"VA","10"
"Massachusetts","1"
"MI","5"
"DE","1"
"CO 80863","1"
"TX 79927","1"
"IA","5"
"PA 18411","1"
"MD","5"
"MA","26"
"AR","1"
"VA 22401","1"
"IL","16"
"UT","4"
"IN","2"
"MN","5"
"AZ","4"
"MO","3"
"MT","1"
"CT 06471","1"
"MS","1"
"NH","3"
"NJ","2"
"NV 89032","1"
"NM","1"
"TX","20"
"AL","2"
"PA 19468","1"
"NC","8"
"NE","1"
"PA 19029","1"
"NY","33"
"GA","8"
"NV","2"
"TN","1"
"CA","67"
"CA 95446","1"
"OH","8"
"WY","1"
"FL","8"
"OH 45505","1"
"TX 79031","1"
"SC","2"
"CT","2"
"PA 18940","1"
"WV","1"
"DC","7"
"KY","1"
"WI","8"
"OR 97827","1"
"OR","5"
"MO 63862","1"
"LA","1"
"WA","17"
"HI 96720","1"
"CO","9"
"PA","11"
"VA 24073","1"
